Benchmark program, Rounds, Positive, Negative, Total Time(ms)
boxGame.json.time ,  9, 2.000000, 3.000000, 609.000000
boxGamePaper.json.time ,  4, 1.000000, 2.000000, 220.000000
diagonalGame.json.time ,  30, 14.000000, 8.000000, 5096.000000
evasion.json.time ,  18, 1.000000, 9.000000, 4422.000000
evasion_Paper.json.time ,  6, 1.000000, 1.000000, 550.000000
follow.json.time ,  217, 1.000000, 147.000000, 67530.000000
follow_Paper.json.time ,  11, 1.000000, 6.000000, 714.000000
laufband.json.time ,  5, 1.000000, 1.000000, 487.000000
multitank.json.time ,  104, 1.000000, 78.000000, 8463.000000
program_repair.json.time ,  14, 1.000000, 2.000000, 1072.000000
solitaryBoxGame.json.time ,  4, 1.000000, 2.000000, 202.000000
square.json.time ,  61, 1.000000, 16.000000, 5969.000000
zweigeradenPaper.json.time ,  23, 10.000000, 6.000000, 2720.000000
